url,title,status,size,server,language,application,frameworks,system
"https://101.132.87.67","502 Bad Gateway","502","246B","[]","[]","[]","[]","[]"
"http://101.132.87.67","500 Internal Server Error","500","297B","[]","[]","[]","[]","[]"
